Student_ID,Gender,Age,Degree,CGPA,10th_Percentage,12th_Percentage,Backlogs,Technical_Skills,Communication_Skills,Aptitude_Score,Coding_Score,Internship,Internship_Months,Certifications,Projects,Attendance,Placement_Training,Preferred_Domain,Placement_Status,Company_Type,Package_LPA
STU0001,Female,21,BCA,8.55,70.8,51.6,1,7.0,7.2,48,69,Yes,3,0,5,88.4,Yes,Cyber Security,Not Placed,None,0.0
STU0002,Male,22,BCA,8.17,72.6,74.5,1,8.1,4.6,61,58,Yes,3,1,4,89.8,Yes,Data Analytics,Not Placed,None,0.0
STU0003,Male,22,B.Sc Data Science,8.23,80.3,71.3,2,7.9,7.6,83,58,No,0,1,3,95.5,No,Cloud Computing,Not Placed,None,0.0
STU0004,Male,22,BCA,6.49,76.8,55.6,1,6.6,7.8,68,36,Yes,3,1,5,92.6,Yes,Cyber Security,Not Placed,None,0.0
STU0005,Female,22,BCA,8.68,70.1,78.4,1,7.1,8.0,77,61,Yes,2,1,2,88.5,Yes,Cloud Computing,Not Placed,None,0.0
STU0006,Female,22,B.Tech CSE,7.87,74.3,81.9,0,6.4,3.1,91,57,Yes,2,2,2,92.5,Yes,Networking,Not Placed,None,0.0
STU0007,Female,22,B.Sc Computer Science,7.34,76.8,76.5,1,4.6,9.1,72,56,Yes,3,3,1,75.3,Yes,Software Development,Not Placed,None,0.0
STU0008,Male,22,B.Tech CSE,7.77,54.7,70.4,0,7.4,6.0,60,72,Yes,2,3,3,72.0,Yes,Networking,Not Placed,None,0.0
STU0009,Male,21,B.Sc Networking,6.14,80.6,80.5,0,10.0,8.1,75,76,No,0,1,4,85.3,Yes,Data Analytics,Not Placed,None,0.0
STU0010,Male,21,B.Sc Computer Science,8.0,66.2,81.5,0,5.6,8.2,60,69,No,0,5,4,84.5,No,Data Analytics,Not Placed,None,0.0
STU0011,Female,21,B.Sc Networking,6.78,64.5,77.4,0,5.8,5.8,61,82,Yes,3,2,1,79.6,Yes,Cloud Computing,Placed,Product Company,6.09
STU0012,Male,24,B.Sc Networking,6.5,59.1,64.9,0,5.6,8.1,47,75,Yes,2,1,3,90.6,Yes,Data Analytics,Not Placed,None,0.0
STU0013,Male,23,B.Sc Data Science,6.36,58.1,77.0,2,8.2,6.5,81,60,Yes,2,3,2,69.1,Yes,AI/ML,Not Placed,None,0.0
STU0014,Female,20,B.Sc Networking,8.6,62.4,87.2,0,7.7,4.0,63,57,Yes,3,2,3,79.7,Yes,Cloud Computing,Not Placed,None,0.0
STU0015,Female,22,B.Tech IT,7.12,68.9,67.4,0,6.7,8.9,71,70,No,0,3,1,80.1,Yes,Software Development,Not Placed,None,0.0
STU0016,Female,23,B.Sc Computer Science,8.95,95.5,97.1,0,5.5,5.9,53,75,Yes,1,0,4,70.9,Yes,Software Development,Placed,IT Services,6.06
STU0017,Female,21,B.Sc Computer Science,7.19,70.7,68.2,0,7.1,5.8,74,89,Yes,2,1,2,96.0,Yes,Software Development,Placed,IT Services,4.6
STU0018,Male,22,B.Sc Data Science,6.2,77.8,74.4,0,4.5,6.5,57,85,Yes,4,3,2,73.1,Yes,Networking,Not Placed,None,0.0
STU0019,Female,23,B.Sc Networking,6.7,80.0,66.6,0,7.2,7.5,66,56,No,0,2,4,79.3,Yes,Software Development,Placed,IT Services,2.95
STU0020,Female,20,B.Tech CSE,8.7,77.3,76.5,0,8.4,7.0,80,63,No,0,2,3,91.3,Yes,Cloud Computing,Not Placed,None,0.0
STU0021,Male,22,B.Sc Data Science,7.52,75.2,54.8,0,5.0,7.9,79,76,Yes,3,2,0,89.2,Yes,AI/ML,Not Placed,None,0.0
STU0022,Female,21,B.Tech IT,7.18,64.0,68.0,1,4.5,5.1,68,83,Yes,2,3,3,75.1,Yes,Data Analytics,Not Placed,None,0.0
STU0023,Female,23,B.Sc Data Science,7.79,90.5,62.0,1,9.5,6.0,43,81,Yes,2,1,1,89.5,Yes,Software Development,Placed,Startup,4.57
STU0024,Female,23,B.Sc Networking,8.08,94.1,75.5,0,6.0,6.9,100,64,No,0,2,5,86.3,Yes,Software Development,Not Placed,None,0.0
STU0025,Female,23,B.Sc Computer Science,8.6,59.2,84.9,0,8.8,9.9,92,44,Yes,2,0,3,100.0,Yes,Software Development,Placed,Startup,4.64
STU0026,Male,21,BCA,8.88,65.8,81.1,0,6.8,6.9,78,48,Yes,4,2,2,87.2,Yes,Software Development,Not Placed,None,0.0
STU0027,Female,22,B.Tech CSE,7.34,73.2,47.9,1,6.7,8.7,57,70,Yes,3,3,3,82.9,Yes,Software Development,Not Placed,None,0.0
STU0028,Male,22,B.Sc Data Science,6.52,66.4,96.5,0,7.7,7.2,66,71,No,0,0,1,77.1,Yes,Software Development,Not Placed,None,0.0
STU0029,Male,21,BCA,7.3,81.1,77.2,0,5.6,6.4,60,46,Yes,4,2,4,78.0,Yes,Networking,Not Placed,None,0.0
STU0030,Female,22,B.Tech IT,7.87,68.7,65.5,1,7.2,6.7,86,66,Yes,2,1,5,77.4,No,Networking,Not Placed,None,0.0
STU0031,Male,20,BCA,6.83,97.7,75.7,0,6.4,6.8,72,76,No,0,0,4,95.0,No,Software Development,Not Placed,None,0.0
STU0032,Female,22,B.Tech IT,6.84,87.9,75.9,0,4.9,8.0,57,45,No,0,1,2,84.1,No,Cyber Security,Not Placed,None,0.0
STU0033,Female,21,B.Sc Computer Science,7.94,78.1,66.7,0,7.5,9.2,61,84,No,0,0,2,88.5,No,Cloud Computing,Placed,Startup,3.5
STU0034,Male,21,B.Sc Data Science,7.61,86.3,76.2,2,6.6,7.6,84,59,No,0,1,0,96.1,No,Cloud Computing,Placed,Product Company,3.68
STU0035,Male,20,B.Tech IT,7.68,87.1,67.3,1,6.7,8.9,90,86,Yes,3,1,3,65.1,No,Networking,Placed,IT Services,4.21
STU0036,Male,22,B.Sc Computer Science,7.01,70.4,69.6,0,5.1,5.7,89,56,Yes,4,3,3,94.2,Yes,AI/ML,Not Placed,None,0.0
STU0037,Female,21,B.Sc Networking,7.45,67.8,66.5,0,9.5,6.5,79,48,No,0,3,3,84.4,Yes,Cyber Security,Not Placed,None,0.0
STU0038,Female,22,B.Sc Networking,6.86,76.8,58.2,0,8.4,6.0,64,57,Yes,1,2,4,87.5,Yes,Software Development,Not Placed,None,0.0
STU0039,Male,20,BCA,8.41,84.6,75.6,3,8.5,7.6,30,63,No,0,0,2,77.4,Yes,AI/ML,Not Placed,None,0.0
STU0040,Female,21,BCA,8.53,77.4,80.4,2,6.5,6.6,72,58,No,0,4,0,78.0,No,Software Development,Not Placed,None,0.0
STU0041,Female,22,B.Tech CSE,6.08,60.2,79.7,0,4.2,8.2,68,61,Yes,3,2,1,87.9,Yes,AI/ML,Not Placed,None,0.0
STU0042,Male,22,B.Tech IT,6.86,68.0,83.0,1,10.0,5.7,70,71,Yes,6,0,2,100.0,No,Networking,Not Placed,None,0.0
STU0043,Female,21,B.Tech IT,6.38,75.3,77.6,0,6.9,7.2,69,62,No,0,3,0,92.0,Yes,Networking,Not Placed,None,0.0
STU0044,Male,22,B.Sc Networking,7.1,75.2,68.1,0,5.8,8.1,49,64,No,0,1,3,94.1,Yes,Data Analytics,Not Placed,None,0.0
STU0045,Female,23,B.Tech CSE,7.58,95.7,83.2,0,7.7,4.0,76,36,Yes,3,2,2,82.5,Yes,Software Development,Placed,Product Company,3.81
STU0046,Male,22,B.Tech CSE,6.42,62.1,59.1,0,8.9,10.0,77,72,Yes,1,1,2,79.2,Yes,Data Analytics,Not Placed,None,0.0
STU0047,Female,21,B.Sc Networking,6.87,81.1,64.1,2,7.0,6.7,78,63,Yes,2,1,4,77.8,Yes,Networking,Not Placed,None,0.0
STU0048,Male,20,B.Tech CSE,6.8,90.9,63.4,0,9.0,4.1,81,92,Yes,4,4,2,80.1,No,Data Analytics,Not Placed,None,0.0
STU0049,Male,22,B.Tech IT,7.83,98.0,85.9,0,8.7,7.3,76,49,Yes,3,1,3,67.6,No,Networking,Placed,IT Services,4.69
STU0050,Female,20,B.Sc Networking,7.71,72.0,84.4,2,5.3,7.2,62,34,Yes,1,0,2,78.2,No,Cloud Computing,Not Placed,None,0.0
STU0051,Male,22,B.Sc Computer Science,7.04,80.9,79.4,2,5.9,7.0,67,76,No,0,4,3,79.5,Yes,AI/ML,Not Placed,None,0.0
STU0052,Male,21,B.Sc Computer Science,7.8,81.7,85.8,0,8.5,8.6,69,71,No,0,4,5,82.6,No,AI/ML,Placed,IT Services,3.76
STU0053,Male,23,B.Sc Networking,7.19,78.0,64.3,0,2.7,8.2,70,48,No,0,2,0,85.1,Yes,AI/ML,Not Placed,None,0.0
STU0054,Male,22,B.Sc Data Science,7.42,75.0,77.8,0,6.8,7.5,82,39,Yes,4,1,3,86.9,Yes,Data Analytics,Not Placed,None,0.0
STU0055,Male,24,B.Tech CSE,9.07,80.4,72.6,0,4.7,7.8,77,91,Yes,2,0,4,83.9,No,Data Analytics,Placed,Startup,4.9
STU0056,Male,21,B.Tech CSE,8.79,50.7,83.3,2,6.2,6.9,97,89,No,0,3,3,79.3,Yes,Software Development,Placed,Consulting,4.4
STU0057,Female,22,B.Sc Computer Science,6.55,82.8,72.7,2,6.5,9.8,99,23,Yes,3,0,2,68.3,Yes,Cloud Computing,Not Placed,None,0.0
STU0058,Female,21,B.Sc Computer Science,8.36,77.3,69.8,0,6.4,4.9,69,57,Yes,3,0,2,79.4,Yes,Networking,Not Placed,None,0.0
STU0059,Female,21,B.Tech IT,8.34,73.8,79.9,0,6.1,7.3,30,93,Yes,3,2,3,76.2,No,Networking,Placed,IT Services,3.6
STU0060,Female,22,B.Tech IT,6.67,96.5,83.6,0,5.2,7.2,85,57,No,0,0,4,87.7,Yes,AI/ML,Not Placed,None,0.0
STU0061,Female,22,B.Sc Networking,8.35,69.3,66.6,2,10.0,8.3,60,57,No,0,0,1,91.3,Yes,Cloud Computing,Not Placed,None,0.0
STU0062,Female,24,B.Tech IT,8.96,72.0,73.3,0,10.0,5.8,57,60,Yes,2,1,1,91.5,Yes,AI/ML,Not Placed,None,0.0
STU0063,Male,22,B.Tech CSE,6.7,95.9,62.4,0,5.1,4.5,62,46,No,0,0,2,90.1,No,Software Development,Not Placed,None,0.0
STU0064,Female,21,B.Sc Computer Science,6.87,67.7,46.5,0,9.5,7.3,62,36,Yes,4,0,2,82.9,No,Data Analytics,Not Placed,None,0.0
STU0065,Female,21,B.Sc Networking,8.52,70.5,76.2,0,6.4,7.5,77,83,Yes,3,0,2,79.8,Yes,Cloud Computing,Placed,IT Services,6.52
